message_id,message_id_default,user id,nickname,comment_text,Total reply number,reply_number,reply_id,reply_uid,reply_nickname,reply_text,reply_up_count,reply_down_count
101,d4994c25-0466-45dc-8503-838c9fff741d,K6UTXMXQOPWOFAVS7XHO5P4JWE,Tim,"What to expect: more stupid people walking around! That's why they call it dope, you dopes! LOL",7,1,f431f588-cb7e-42e3-90d8-d122e6f7cff5,QQFA5N26F4BLGUVKSKB3BQ57HI,dtboco,"Yes, some people call it dope. I said that. Cops in the south and the willfully ignorant who cling to hyperbole like yourself and Just me. Are you the same person? You both are delusional and desperately cling to propaganda",0,0
102,d4994c25-0466-45dc-8503-838c9fff741d,K6UTXMXQOPWOFAVS7XHO5P4JWE,Tim,"What to expect: more stupid people walking around! That's why they call it dope, you dopes! LOL",7,2,dce10b54-99aa-4182-83e5-08c75e9c7259,G4MDEWF3QNHZOIVSBEZA65IMEM,Just Me,"@Janine,
 He's never heard the phrase ""smoking dope"". The term was used quite extensively in the military until other drug forms emerged that could be smoked.",0,1
103,d4994c25-0466-45dc-8503-838c9fff741d,K6UTXMXQOPWOFAVS7XHO5P4JWE,Tim,"What to expect: more stupid people walking around! That's why they call it dope, you dopes! LOL",7,3,3890170b-4c39-4d46-864c-d70ddbb8b89d,7ZPR5JVGGCMTMK2CI3RE7TYSOY,Janine,"@dtboco Tell ya what, show me a link and we'll call it a day.",0,1
104,d4994c25-0466-45dc-8503-838c9fff741d,K6UTXMXQOPWOFAVS7XHO5P4JWE,Tim,"What to expect: more stupid people walking around! That's why they call it dope, you dopes! LOL",7,4,4ece499d-3efa-4a49-bc5b-9d7af21287f4,7ZPR5JVGGCMTMK2CI3RE7TYSOY,Janine,"Hey, look  it up! If you're going to call the guy, ""willfully ignorant, I would think you'd have a better argument. Apparently, some people do call it dope, sorry to let you down.",1,1
105,d4994c25-0466-45dc-8503-838c9fff741d,K6UTXMXQOPWOFAVS7XHO5P4JWE,Tim,"What to expect: more stupid people walking around! That's why they call it dope, you dopes! LOL",7,5,cf3c5aa3-c8d4-41f1-a130-0a1f7651d103,QQFA5N26F4BLGUVKSKB3BQ57HI,dtboco,"@Janine You can cite definitions all you want. No one calls marijuana dope like I stated. See that part in the definition where it says heroin? That's what most people are referring to when they say dope. That is just a fact no matter how much you want to argue. Facts aren't your strong point based on your posts, though. Are you paid to spread misinformation or just ignorant?",0,0
106,d4994c25-0466-45dc-8503-838c9fff741d,K6UTXMXQOPWOFAVS7XHO5P4JWE,Tim,"What to expect: more stupid people walking around! That's why they call it dope, you dopes! LOL",7,6,2ce0cef5-b62f-4189-bee7-d320d63ed473,7ZPR5JVGGCMTMK2CI3RE7TYSOY,Janine,"lol @dtboco, willfully ignorant huh - check your definitions dt, then comment.

Dope - noun
1.
INFORMAL
a drug taken illegally for recreational purposes, especially marijuana or heroin.",1,1
107,d4994c25-0466-45dc-8503-838c9fff741d,K6UTXMXQOPWOFAVS7XHO5P4JWE,Tim,"What to expect: more stupid people walking around! That's why they call it dope, you dopes! LOL",7,7,c365ea85-d611-4a27-bea7-2310b1a85c71,QQFA5N26F4BLGUVKSKB3BQ57HI,dtboco,"No one calls it dope, though. Only the willfully ignorant like yourself and cops in the south. To the rest of us dope generally refers to heroin.",0,0
108,18f81213-7b42-4632-a431-f40cef9dd048,5LQRESOG3WWXH6JHLG25ZHQMCI,George,"What to expect?

More dead libtards!",1,1,40968e61-b799-4b57-aad7-3496711287ac,W57ZN7XEK3V72OTQU6CW2VEVDI,Gumby,"From weed?  LOL, ignorant.",3,0
109,a1d3844b-c02c-40ac-9efb-928d882b54cd,55NG2EWTPXBE65UVQQVMPIWFL4,Pdei47,Smoked some Willie Nelson and felt like a new person.  Keep those opioids give people some of the Willie Nelson.,1,1,fcc13567-a01d-4aff-bbff-a3d5142d7bac,2L6W2SSR5VO2ZDS6EMMZXN3DPQ,LlllllBbbbbb,Snoop Dog !,1,0
110,af5372a3-3e64-4b49-b19a-77a6f78cd8d4,7DAWWFT7NH7GJDIVKVSKZ3A5DE,Stephen,weak degenerate drug trash can't get through life without getting high. the dregs of society who use food stamps,3,1,4938a61c-6088-4c36-bc16-b343a0d52f1e,7DAWWFT7NH7GJDIVKVSKZ3A5DE,Stephen,@Ash Williams If you have to get high to get women you aren't even a man. just a weak little boy puto,1,0
111,af5372a3-3e64-4b49-b19a-77a6f78cd8d4,7DAWWFT7NH7GJDIVKVSKZ3A5DE,Stephen,weak degenerate drug trash can't get through life without getting high. the dregs of society who use food stamps,3,2,6343cd07-22e9-4ef8-8ab4-628007ccaf6b,PKO5RGC4NVQIRDJPZZAKFAQBYC,Army of Darkness,@Stephen So obvious you don't get laid either.,0,1
112,af5372a3-3e64-4b49-b19a-77a6f78cd8d4,7DAWWFT7NH7GJDIVKVSKZ3A5DE,Stephen,weak degenerate drug trash can't get through life without getting high. the dregs of society who use food stamps,3,3,f5ceb1d5-ebe9-48f1-89b2-f39304ca766d,PNRV7WMAME2VW2HO7QM5CR3KZU,Enrico Palazzo,,2,2
113,d02e7c98-23be-4603-adce-b3365fec5df4,RENLB4MEAVNJG5EZ2MTE2NL3BM,MaryJane,"Wonderful!!  Along with drunk drivers on the roads, we can now have potheads behind the wheel too.",8,1,cd1dd95f-04f8-4d07-8a8f-e6bc9240c17c,6WVCF2MRMCGZEA4CCC4JAFYLLV,R,Ignorance is bliss. I don’t smoke pot and seldom drink and I don’t see legalization of marijuana causing more accident. People have been using it “illegally” forever,2,0
114,d02e7c98-23be-4603-adce-b3365fec5df5,RENLB4MEAVNJG5EZ2MTE2NL3BM,MaryJane,"Wonderful!!  Along with drunk drivers on the roads, we can now have potheads behind the wheel too.",8,2,740ea559-652c-4423-84bb-6a68ae3c1b89,2L6W2SSR5VO2ZDS6EMMZXN3DPQ,LlllllBbbbbb,"@Fullmetal:    I used to do that all the time, but I lived in Manhattan and parked in a different spot on a different street every day!  I knew it wasn't the pot!",1,0
115,d02e7c98-23be-4603-adce-b3365fec5df5,RENLB4MEAVNJG5EZ2MTE2NL3BM,MaryJane,"Wonderful!!  Along with drunk drivers on the roads, we can now have potheads behind the wheel too.",8,3,cec84e35-30ff-4d0e-98f2-6300f911bbbc,QQFA5N26F4BLGUVKSKB3BQ57HI,dtboco,"Sorry to crush your delusions, but no matter where you live you are on the road with people who are stoned every single day. It's such a huge issue you didn't even realize it...Your comment proves the point you are trying to make incorrect. Now that's funny.",6,0
116,d02e7c98-23be-4603-adce-b3365fec5df5,RENLB4MEAVNJG5EZ2MTE2NL3BM,MaryJane,"Wonderful!!  Along with drunk drivers on the roads, we can now have potheads behind the wheel too.",8,4,66d69f3c-ce0e-436c-ae31-0d521d82a817,F5P4KAD2XZADF3YYEQJ2FACFAA,NIX,"And when I'm feeling low,
She comes as no surprise.
Turns me on with her love.
Takes me to paradise, do you love me Mary Jane?
Yeah, whoa-oh-oh.
Do ya? Do ya? Do ya? Do ya? Do ya? Do ya? 
Now do you think you love me Mary Jane.",4,1
117,d02e7c98-23be-4603-adce-b3365fec5df5,RENLB4MEAVNJG5EZ2MTE2NL3BM,MaryJane,"Wonderful!!  Along with drunk drivers on the roads, we can now have potheads behind the wheel too.",8,5,06a9e881-64e6-4833-a810-57b86c4ad1c0,4CAM4UEDQDWESZMJQAAHOYOMGU,Rudy,"You mean, like there have been already for decades now?  A weed-hating ""MaryJane"", what an ironic lot in life.",12,2
118,d02e7c98-23be-4603-adce-b3365fec5df5,RENLB4MEAVNJG5EZ2MTE2NL3BM,MaryJane,"Wonderful!!  Along with drunk drivers on the roads, we can now have potheads behind the wheel too.",8,6,687126e5-7419-4020-80d1-1e1dd1aa833f,WOZLCRQOPDVGW6J7XEG3D76RMA,Steve,I was totally waiting for pot to be legal before I smoked and drive,13,0
119,d02e7c98-23be-4603-adce-b3365fec5df5,RENLB4MEAVNJG5EZ2MTE2NL3BM,MaryJane,"Wonderful!!  Along with drunk drivers on the roads, we can now have potheads behind the wheel too.",8,7,9c6febcd-ff82-447e-83bb-016d1f9a1aa7,UJKKEDEY666C6K4PZEB2FHJ2WA,Fullmetal,"Yeah, but they forget where they left their car so we're safe.",6,0
120,d02e7c98-23be-4603-adce-b3365fec5df5,RENLB4MEAVNJG5EZ2MTE2NL3BM,MaryJane,"Wonderful!!  Along with drunk drivers on the roads, we can now have potheads behind the wheel too.",8,8,851f2e2b-e73f-4335-b041-fe57dd8dd43f,YUOJEBAOXPYIIIFU32RYBT2BYA,DM,"They've always been there, in the same numbers that they will be in the future, you're confused into thinking there's people who want to use pot, but are waiting for it to be legal.",18,1
121,cbd11fda-3385-456b-8776-4ec0cddec4bf,6XAO6QYL7EKRECWKTQIRLHQMMQ,hello,How disgusting. more weed more more drug addicts.,1,1,ede72860-762c-405a-913c-a7d1225136c8,BADDTL3CDKCCXRPIXFBUGBMN5G,Madt,Next we need to close all coffee shops down.,0,0